Year,Host Country,Winner,Runners-Up,Third,Fourth,Goals Scored,Qualified Teams,Matches Played,Top Scorer,Goals
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,Guillermo Stábile (Argentina),8
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,Oldrich Nejedlý (Czechoslovakia),5
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,Leônidas (Brazil),7
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,Ademir (Brazil),8
1954,Switzerland,Germany,Hungary,Austria,Uruguay,140,16,26,Sándor Kocsis (Hungary),11
1958,Sweden,Brazil,Sweden,France,Germany,126,16,35,Just Fontaine (France),13
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,"Garrincha (Brazil), Vavá (Brazil), Leonel Sánchez (Chile), Flórián Albert (Hungary), Valentin Ivanov (Soviet Union) and Dražan Jerkovic (Yugoslavia) all with 4 goals",4
1966,England,England,Germany,Portugal,Soviet Union,89,16,32,Eusébio (Portugal),9
1970,Mexico,Brazil,Italy,Germany,Uruguay,95,16,32,Gerd Müller (West Germany),10
1974,Germany,Germany,Netherlands,Poland,Brazil,97,16,38,Grzegorz Lato (Poland),7
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,Mario Kempes (Argentina),6
1982,Spain,Italy,Germany,Poland,France,146,24,52,Paolo Rossi (Italy),6
1986,Mexico,Argentina,Germany,France,Belgium,132,24,52,"Gary Lineker (England), Diego Maradona (Argentina) both with 6 goals",6
1990,Italy,Germany,Argentina,Italy,England,115,24,52,Salvatore Schillaci (Italy),6
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,"Hristo Stoichkov (Bulgaria), Oleg Salenko (Russia) both with 6 goals",6
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,Davor Šuker (Croatia) with 6 goals,6
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,Ronaldo (Brazil) with 8 goals,8
2006,Germany,Italy,France,Germany,Portugal,147,32,64,Miroslav Klose(Germany),5
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,"Thomas Müller(Germany), Wesley Sneijder(Netherlands), Diego Forlán(Uruguay), and David Villa(Spain)",5
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,James Rodríguez(Colombia),6
2018,Russia,France,Croatia,Belgium,England,169,32,64,"Harry Kane(England), Antoine Griezmann(France), Romelu Lukaku(Belgium), Cristiano Ronaldo(Portugal), Denis Cheryshev(Russia), Kylian Mbappé(France), Yerry Mina(Colombia), Artem Dzyuba(Russia), Diego Costa(Spain), Edinson Cavani(Uruguay), Ahmed Musa(Nigeria), Philippe Coutinho(Brazil), Luka Modric(Croatia), Mile Jedinak(Australia), Takashi Inui(Japan), Son Heung-min(South Korea), Wahbi Khazri(Tunisia)",5
